vendor_id,vendor_name,country,category,onboarding_date,contract_value,critical_vendor_flag,compliance_score,audit_status,last_audit_date,issues_found,annual_revenue,profit_margin,financial_risk_score,incident_count,incident_severity,last_incident_date,delivery_score,quality_score,sla_breach_count
V001,SecureCloud Inc,USA,Cloud Services,2023-01-15,250000,Yes,92.0,Passed,2024-01-10,1.0,2000000.0,18.0,20.0,2.0,Medium,2024-01-22,95.0,90.0,1.0
V002,DataBridge Solutions,Canada,Data Integration,2022-11-03,180000,Yes,85.0,Passed,2023-11-15,2.0,1500000.0,15.0,30.0,3.0,High,2023-12-05,88.0,85.0,2.0
V003,RapidSource Tech,India,IT Support,2024-02-10,95000,No,70.0,Pending,2024-03-01,4.0,800000.0,10.0,50.0,6.0,High,2024-03-10,75.0,70.0,5.0
V004,FinCore Analytics,USA,Financial Analytics,2021-09-25,300000,Yes,95.0,Passed,2023-09-20,0.0,2500000.0,22.0,15.0,1.0,Low,2023-08-15,97.0,92.0,0.0
V005,GreenRoute Logistics,Germany,Logistics,2023-06-14,140000,No,78.0,Passed,2024-02-11,3.0,900000.0,12.0,40.0,4.0,Medium,2024-02-18,82.0,78.0,3.0
V006,BluePeak Systems,UK,Cybersecurity,2022-08-19,275000,Yes,,,,,,,,,,,,,
V007,AlphaWare Ops,Singapore,Operations,2024-01-08,110000,No,,,,,,,,,,,,,
V008,NextGen Devices,Japan,Hardware,2021-12-02,220000,Yes,,,,,,,,,,,,,
V009,OmniData Labs,USA,Data Engineering,2023-04-21,195000,Yes,,,,,,,,,,,,,
V010,CoreAxis Networks,USA,Networking,2022-05-11,160000,No,,,,,,,,,,,,,
V011,TrustLayer AI,Israel,AI Services,2024-03-18,205000,Yes,,,,,,,,,,,,,
V012,Vertex Compliance,USA,Compliance,2023-07-27,125000,No,,,,,,,,,,,,,
V013,PrimeLedger Tech,India,FinTech,2022-10-30,175000,Yes,,,,,,,,,,,,,
V014,Skyline Secure,Canada,Cybersecurity,2023-09-13,210000,Yes,,,,,,,,,,,,,
V015,DeltaOps Logistics,Mexico,Logistics,2024-02-28,90000,No,,,,,,,,,,,,,
